title,tag,total_price,unitprice,position,house_range,house_area,house_toward,house_situation,house_floor,house_year,house_type,is_near_subway,tax_for_free,is_anytime
行宫园 2室1厅 南 北,"VR房源,房本满五年,随时看房",159万,"15,604元/平",行宫园-良乡,2室1厅,101.9平米,南 北,简装,中楼层(共7层),无年份,板楼,False,房本满五年,True
电梯直达，采光好！近近近！看房子方便！,"近地铁,VR房源,房本满五年,随时看房",583万,"98,730元/平",和平里一区-和平里,2室1厅,59.05平米,南,精装,高楼层(共11层),无年份,板楼,True,房本满五年,True
北人家园 2室1厅 南,VR房源,245万,"30,473元/平",北人家园-万达,2室1厅,80.4平米,南,精装,低楼层(共27层),2018年,板楼,False,,False
下坡屯家园一区 1室1厅 南,"VR房源,房本满两年",82万,"13,148元/平",下坡屯家园一区-顺义其它,1室1厅,62.37平米,南,其他,低楼层(共11层),2012年,板楼,False,房本满两年,False
望京路4号院 满五年唯一 精装修 看房随时 配套全,"近地铁,VR看装修,房本满五年,随时看房",238万,"40,497元/平",望京路4号院-望京,1室1厅,58.77平米,东南,精装,顶层(共14层),1999年,板楼,True,房本满五年,True
南北通透 小区中间位置  一层两居,"近地铁,VR房源,房本满五年,随时看房",235万,"30,457元/平",云趣园二区-回龙观,2室1厅,77.16平米,南 北,简装,7层,无年份,板楼,True,房本满五年,True
满五唯一 楼层好 楼栋位置好 正观小区花园,"VR房源,房本满五年,随时看房",285万,"51,584元/平",苹果社区南区-双井,1室0厅,55.25平米,北,简装,22层,2005年,板塔结合,False,房本满五年,True
东城区地坛公园东门口和平里五区,"VR房源,房本满五年",560万,"101,597元/平",和平里五区-和平里,2室1厅,55.12平米,南 北,精装,底层(共6层),无年份,板楼,False,房本满五年,False
昊天温泉家园 1层 业主诚心出售 看房随时,"VR看装修,房本满五年,随时看房",99万,"12,430元/平",昊天温泉家园-良乡,2室1厅,79.65平米,南 北,简装,底层(共6层),无年份,板楼,False,房本满五年,True
靓景明居 电梯南北两居室 双卫 随时看房,"VR房源,房本满五年",350万,"34,164元/平",靓景明居-九棵树(家乐福),2室2厅,102.45平米,南 北,简装,中楼层(共12层),无年份,板楼,False,房本满五年,False
华瀚福园C区 2室1厅 西南 北,"VR房源,房本满五年,随时看房",209万,"32,070元/平",华瀚福园C区-东坝,2室1厅,65.17平米,西南 北,简装,高楼层(共22层),2017年,板楼,False,房本满五年,True
下坡屯家园一区 1室1厅 南,"VR房源,房本满两年",82万,"13,148元/平",下坡屯家园一区-顺义其它,1室1厅,62.37平米,南,其他,低楼层(共11层),2012年,板楼,False,房本满两年,False
2004年建成，70年住宅，满五唯一，车位充足近地,"近地铁,VR房源,房本满五年,随时看房",598万,"48,328元/平",星源国际-望京,3室1厅,123.74平米,西 北,简装,中楼层(共25层),2004年,板楼,True,房本满五年,True
右安门外开阳里一区中间楼层两居室,"VR看装修,房本满五年",428万,"58,647元/平",开阳里一区-北京南站,2室1厅,72.98平米,南 北,简装,中楼层(共6层),2002年,板楼,False,房本满五年,False
葛布店南里 九棵树地铁  精装 好房来了！！,"近地铁,VR房源,房本满五年,随时看房",129万,"30,781元/平",葛布店南里-果园,1室1厅,41.91平米,南,精装,底层(共6层),无年份,板楼,True,房本满五年,True
团结湖政协公寓 满五唯一  小区安静,"VR房源,房本满五年",320万,"49,930元/平",团结湖北四条-团结湖,2室1厅,64.09平米,南 北,简装,中楼层(共6层),无年份,板楼,False,房本满五年,False
二环外，劲松光明，商品房，南北，交通方便，诚意卖,"VR房源,房本满五年,随时看房",728万,"52,927元/平",都城心屿-劲松,3室1厅,137.55平米,南 北,精装,24层,2008年,塔楼,False,房本满五年,True
石门营新区七区东苑,"近地铁,VR看装修,随时看房",73万,"16,520元/平",石门营新区七区东苑-石门营,1室1厅,44.19平米,南,简装,顶层(共6层),2012年,板塔结合,True,,True
下坡屯家园三区 电梯两居室 南北通透 诚心出售,"VR看装修,随时看房",108万,"12,984元/平",下坡屯家园三区-顺义其它,2室1厅,83.18平米,南 北,简装,中楼层(共11层),2014年,板塔结合,False,,True
定福庄北里1号院 1室1厅 南,"VR房源,房本满五年,随时看房",145万,"32,791元/平",定福庄北里1号院-定福庄,1室1厅,44.22平米,南,其他,低楼层(共6层),无年份,板楼,False,房本满五年,True
广和东里 南北通透 低楼层二层,"近地铁,VR房源,房本满五年",220万,"40,984元/平",广和东里-劲松,2室1厅,53.68平米,南 北,简装,中楼层(共5层),无年份,板楼,True,房本满五年,False
靓景明居 电梯南北两居室 双卫 随时看房,"VR房源,房本满五年",350万,"34,164元/平",靓景明居-九棵树(家乐福),2室2厅,102.45平米,南 北,简装,中楼层(共12层),无年份,板楼,False,房本满五年,False
东城区地坛公园东门口和平里五区,"VR房源,房本满五年",560万,"101,597元/平",和平里五区-和平里,2室1厅,55.12平米,南 北,精装,底层(共6层),无年份,板楼,False,房本满五年,False
望京路4号院 满五年唯一 精装修 看房随时 配套全,"近地铁,VR看装修,房本满五年,随时看房",238万,"40,497元/平",望京路4号院-望京,1室1厅,58.77平米,东南,精装,顶层(共14层),1999年,板楼,True,房本满五年,True
定福庄西街南北通透一居室，明厨明卫，中间楼层，诚意,"近地铁,VR房源,房本满五年,随时看房",150万,"29,792元/平",定福庄西街-定福庄,1室1厅,50.35平米,南 北,其他,中楼层(共18层),1999年,塔楼,True,房本满五年,True
华瀚福园C区 2室1厅 西南 北,"VR房源,房本满五年,随时看房",209万,"32,070元/平",华瀚福园C区-东坝,2室1厅,65.17平米,西南 北,简装,高楼层(共22层),2017年,板楼,False,房本满五年,True
美唐40万博洛尼精装首付120万近霍营站622米,"近地铁,VR房源,房本满五年,随时看房",599万,"46,933元/平",首开国风美唐三期-回龙观,3室1厅,127.63平米,南 北,精装,18层,2016年,板楼,True,房本满五年,True
12号线 19号线 10号线 中间层两居室,"近地铁,VR房源,随时看房",398万,"68,151元/平",钟表南园-马甸,2室1厅,58.4平米,东 西,简装,中楼层(共6层),1985年,板楼,True,,True
农业部分房 管理好 有门禁 电梯直达,"VR看装修,房本满五年,随时看房",235万,"52,176元/平",农展南里-农展馆,1室1厅,45.04平米,南,其他,顶层(共14层),无年份,板塔结合,False,房本满五年,True
罗府家园89平大两居带电梯近地铁满五唯一诚心出售,"近地铁,VR房源,房本满五年,随时看房",148万,"16,528元/平",罗府家园-良乡,2室1厅,89.55平米,东 西,简装,高楼层(共15层),2008年,板塔结合,True,房本满五年,True
明峻嘉园 不邻路大三居 全明户型 中间 位置好房,"VR看装修,房本满五年,随时看房",188万,"13,255元/平",明峻嘉园-窦店,3室1厅,141.84平米,南 北,毛坯,中楼层(共10层),2013年,板楼,False,房本满五年,True
葛布店东里，运河小运河中，梨园,"近地铁,VR看装修,房本满五年,随时看房",216万,"26,047元/平",葛布店东里-果园,2室1厅,82.93平米,南 北,精装,低楼层(共6层),无年份,板楼,True,房本满五年,True
绿地花都苑满五唯一南北通透两居室中高楼层采光好,"VR看装修,房本满五年,随时看房",178万,"20,311元/平",绿地花都苑-长阳,2室1厅,87.64平米,南 北,简装,中楼层(共14层),2012年,板塔结合,False,房本满五年,True
十里堡北区十里堡北区炫特嘉,"近地铁,VR房源,房本满五年",229万,"39,910元/平",炫特嘉园一期-石佛营,1室1厅,57.38平米,西,精装,中楼层(共18层),2004年,塔楼,True,房本满五年,False
西单西四，什刹海爱民里，西什库，南向一居,"近地铁,VR看装修,房本满五年,随时看房",399万,"114,986元/平",爱民里小区-西四,1室1厅,34.7平米,南,简装,底层(共7层),无年份,板楼,True,房本满五年,True
大兴黄村  枣园小区 南北向两居室  诚心出售,"VR看装修,房本满五年,随时看房",179万,"25,565元/平",枣园小区-枣园,2室2厅,70.02平米,南 北,简装,底层(共7层),1994年,板楼,False,房本满五年,True
温泉凯盛家园二区  南北通透两居室  采光好视野好,"VR看装修,房本满五年,随时看房",258万,"32,178元/平",凯盛家园-海淀北部新区,2室1厅,80.18平米,南 北,简装,顶层(共15层),2013年,板塔结合,False,房本满五年,True
丰台区 南四环 8号线和义站 久敬佳园低楼层两居室,"近地铁,VR房源,房本满五年",360万,"35,743元/平",久敬佳园一区-和义,2室2厅,100.72平米,南 北,简装,低楼层(共6层),2007年,板楼,True,房本满五年,False
天恒花园  满五唯一 诚意出售 格局好,"近地铁,VR房源,房本满五年,随时看房",265万,"27,222元/平",天恒花园-中央别墅区,2室2厅,97.35平米,南 北,简装,低楼层(共11层),无年份,板楼,True,房本满五年,True
北一区商满五唯一电梯复式，精装修不临街，南北通透,"近地铁,VR房源,房本满五年,随时看房",518万,"35,241元/平",天通苑北一区-天通苑,3室2厅,146.99平米,南 北,精装,高楼层(共13层),2004年,板楼,True,房本满五年,True
昊天温泉家园 1层 业主诚心出售 看房随时,"VR看装修,房本满五年,随时看房",99万,"12,430元/平",昊天温泉家园-良乡,2室1厅,79.65平米,南 北,简装,底层(共6层),无年份,板楼,False,房本满五年,True
天恒花园  满五唯一 诚意出售 格局好,"近地铁,VR房源,房本满五年,随时看房",265万,"27,222元/平",天恒花园-中央别墅区,2室2厅,97.35平米,南 北,简装,低楼层(共11层),无年份,板楼,True,房本满五年,True
北一区商满五唯一电梯复式，精装修不临街，南北通透,"近地铁,VR房源,房本满五年,随时看房",518万,"35,241元/平",天通苑北一区-天通苑,3室2厅,146.99平米,南 北,精装,高楼层(共13层),2004年,板楼,True,房本满五年,True
昊天温泉家园 1层 业主诚心出售 看房随时,"VR看装修,房本满五年,随时看房",99万,"12,430元/平",昊天温泉家园-良乡,2室1厅,79.65平米,南 北,简装,底层(共6层),无年份,板楼,False,房本满五年,True
楼龄新 纯板楼社区 高层南北2居 人车分流 近地铁,"VR房源,房本满两年,随时看房",228万,"27,816元/平",燕保祈东家园二期-垡头,2室1厅,81.97平米,南 北,简装,高楼层(共27层),2017年,板楼,False,房本满两年,True
裕龙花园二区精装修中间楼层 采光充足,"VR房源,房本满五年,随时看房",175万,"23,406元/平",裕龙二区-顺义城,2室1厅,74.77平米,南 北,精装,中楼层(共6层),1999年,板楼,False,房本满五年,True
丰台科技园南向次新电梯一居室，不临街，15%,"近地铁,VR房源,房本满五年,随时看房",205万,"36,322元/平",首开华润花香四季-科技园区,1室1厅,56.44平米,南,精装,中楼层(共29层),无年份,板楼,True,房本满五年,True
永定路17号院 1室0厅 北,VR看装修,149万,"116,407元/平",永定路17号院-五棵松,1室0厅,12.8平米,北,其他,中楼层(共6层),无年份,板楼,False,,False
南北通透 小区中间位置  一层两居,"近地铁,VR房源,房本满五年,随时看房",235万,"30,457元/平",云趣园二区-回龙观,2室1厅,77.16平米,南 北,简装,7层,无年份,板楼,True,房本满五年,True
国贸百子湾金海国际南区满五唯一东南大三居随时可看,"VR看装修,房本满五年,随时看房",588万,"42,339元/平",金海国际南区-百子湾,3室1厅,138.88平米,东南,简装,高楼层(共23层),无年份,塔楼,False,房本满五年,True
泰中花园 2室1厅 南 北,"VR房源,房本满五年,随时看房",238万,"24,333元/平",泰中花园-高米店,2室1厅,97.81平米,南 北,简装,高楼层(共21层),2012年,板塔结合,False,房本满五年,True
保利百合花园式小区 南北三居室双卫，中间位置；,"近地铁,VR房源,房本满五年",1099万,"76,336元/平",保利百合-丽泽,3室1厅,143.97平米,南 北,精装,低楼层(共21层),2009年,板楼,True,房本满五年,False
塔院 双南向 有电梯  中间层两居 满五年看房方便,"近地铁,VR房源,房本满两年,随时看房",415万,"62,784元/平",塔院小区-牡丹园,2室1厅,66.1平米,南,简装,低楼层(共18层),1989年,塔楼,True,房本满两年,True
此房满五唯一，业主诚心出售，大阳台，采光好,"VR看装修,房本满五年",255万,"29,001元/平",北街家园八区-沙河,2室1厅,87.93平米,南 北,简装,低楼层(共17层),2011年,板楼,False,房本满五年,False
金隅滨和园1号院商品房南向两居，中间楼层采光视野好,"VR房源,房本满五年,随时看房",192万,"27,871元/平",金隅滨和园1号院-石景山其它,2室1厅,68.89平米,南,精装,中楼层(共31层),2014年,板塔结合,False,房本满五年,True
枣营南里 1室1厅 南,"近地铁,VR房源,房本满五年,随时看房",220万,"47,568元/平",枣营南里-农展馆,1室1厅,46.25平米,南,简装,低楼层(共6层),1990年,板楼,True,房本满五年,True
社科院宿舍楼，楼层好，视野开阔，采光充足，配套完善,"VR房源,房本满五年,随时看房",297万,"46,802元/平",劲松九区-劲松,2室1厅,63.46平米,西南,简装,高楼层(共16层),无年份,塔楼,False,房本满五年,True
大城小镇 南北通透一居 满五年唯一 购房有契税,"VR看装修,房本满五年,随时看房",122万,"21,975元/平",大城小镇-旧宫,1室1厅,55.52平米,南 北,简装,顶层(共6层),2008年,板楼,False,房本满五年,True
府前东街西区 2室1厅 东南 东南,"VR房源,随时看房",130万,"21,267元/平",府前东街西区-怀柔,2室1厅,61.13平米,东南 东南,简装,低楼层(共6层),无年份,板楼,False,,True
双井地铁边 低密洋房社区  正观花园，满五唯一,"近地铁,VR房源,房本满五年,随时看房",650万,"81,028元/平",A派公寓-双井,2室1厅,80.22平米,东北,精装,中楼层(共9层),2008年,板塔结合,True,房本满五年,True
鼎顺嘉园东区 2室1厅 南 北,"VR房源,房本满五年,随时看房",146万,"20,304元/平",鼎顺嘉园东区-顺义其它,2室1厅,71.91平米,南 北,精装,底层(共13层),2016年,板塔结合,False,房本满五年,True
古城南里优质一居，满五唯一，近地铁，电梯房，采光好,"近地铁,VR房源,房本满两年,随时看房",165万,"36,232元/平",古城南里-古城,1室1厅,45.54平米,南,其他,中楼层(共16层),1985年,塔楼,True,房本满两年,True
龙湖长城源著2号院 1室1厅 东,"VR房源,房本满五年,随时看房",48万,"13,076元/平",龙湖长城源著2号院-古北口镇,1室1厅,36.71平米,东,其他,低楼层(共6层),2018年,板楼,False,房本满五年,True
裕中西里 南北通透三居室 带电梯 精装修,"近地铁,VR房源,随时看房",899万,"114,232元/平",裕中西里-马甸,3室1厅,78.7平米,南 北,精装,20层,无年份,板塔结合,True,,True
燕山羊耳峪北里，精装二居室，诚意出售。,"VR看装修,房本满五年",45万,"7,500元/平",羊耳峪北里-燕山,2室1厅,60平米,南 北,简装,顶层(共6层),1985年,板楼,False,房本满五年,False
彩虹新城 南北通透 中间楼层 经典户型 急售,"近地铁,VR房源,房本满五年",350万,"39,656元/平",彩虹新城-枣园,2室2厅,88.26平米,南 北,其他,高楼层(共18层),2008年,板楼,True,房本满五年,False
西城广外 车站西街17号院南北通透 精装两居室,"近地铁,VR房源,房本满两年",436万,"78,375元/平",车站西街17号院-广安门,2室1厅,55.63平米,南 北,简装,中楼层(共6层),1992年,板楼,True,房本满两年,False
北大地三里 四环沿线 单价低 交通方便 随时签约,"近地铁,VR房源",185万,"33,515元/平",北大地三里-北大地,2室1厅,55.2平米,东北,其他,高楼层(共6层),无年份,塔楼,True,,False
住总正华新国展满庭芳 2室2厅 南,"VR看装修,房本满五年",332万,"33,570元/平",住总正华新国展满庭芳-中央别墅区,2室2厅,98.9平米,南,精装,中楼层(共14层),无年份,板楼,False,房本满五年,False
白家庄北里 精装修 八十 带电梯,"VR房源,随时看房",465万,"85,290元/平",白家庄北里-三里屯,2室1厅,54.52平米,南,其他,低楼层(共12层),1979年,板塔结合,False,,True
海淀嘉郡 户型方正 南北通透 卫生间有窗户,"VR看装修,房本满五年",399万,"41,772元/平",海淀嘉郡-海淀北部新区,3室1厅,95.52平米,南 西 北,其他,高楼层(共11层),无年份,板楼,False,房本满五年,False
长阳国际城一区 3室1厅 南 北,"近地铁,VR看装修,房本满五年",260万,"28,918元/平",长阳国际城一区-长阳,3室1厅,89.91平米,南 北,精装,高楼层(共9层),2012年,板楼,True,房本满五年,False
宏嘉丽园 全南向 落地飘窗 视野开阔 大两居室,"VR看装修,房本满五年,随时看房",830万,"83,510元/平",宏嘉丽园-知春路,2室1厅,99.39平米,南,简装,中楼层(共25层),2001年,塔楼,False,房本满五年,True
政馨园一区 满五年唯一商品房 楼层高视野好无遮挡,"近地铁,VR房源,随时看房",210万,"41,412元/平",政馨园一区-宋家庄,1室2厅,50.71平米,西,简装,18层,2003年,板塔结合,True,,True
南岗子南北通透2居室，中间楼层，采光好，满五唯一,"近地铁,VR房源,房本满五年,随时看房",385万,"66,529元/平",南岗子-崇文门,2室1厅,57.87平米,南 北,简装,中楼层(共6层),无年份,板楼,True,房本满五年,True
商品房 只有契税 不临街 精装修 采光好,"VR房源,房本满两年,随时看房",115万,"23,840元/平",红山郡-丰台其它,1室1厅,48.24平米,南,精装,中楼层(共21层),2017年,板楼,False,房本满两年,True
国贸南两站地 农光东里 东南两居电梯直达 随时看房,"VR看装修,房本满五年,随时看房",237万,"46,792元/平",农光东里-劲松,2室1厅,50.65平米,东南,简装,中楼层(共18层),无年份,塔楼,False,房本满五年,True
全南北通透大三居，自住品质装修！双卧客厅朝南,VR房源,450万,"32,668元/平",康营四期E区-中央别墅区,3室2厅,137.75平米,南 北,精装,低楼层(共28层),2022年,板楼,False,,False
二环边丽泽商务区单位家属楼管理好 全明格局,"近地铁,VR房源,房本满五年",595万,"68,795元/平",康宁居-马连道,2室1厅,86.49平米,西南,简装,低楼层(共11层),无年份,板塔结合,True,房本满五年,False
东西通透一居室，中间楼层，满五唯一商品房,"近地铁,VR房源,房本满五年,随时看房",155万,"33,057元/平",石佛营东里小区-石佛营,1室1厅,46.89平米,东 西,精装,低楼层(共6层),无年份,板楼,True,房本满五年,True
翠成馨园D区 2室2厅 东,"VR房源,房本满两年",225万,"29,889元/平",翠成馨园D区-垡头,2室2厅,75.28平米,东,简装,中楼层(共22层),2017年,板楼,False,房本满两年,False
眼镜户型，全明格局，地铁200米,"近地铁,VR房源,房本满五年,随时看房",210万,"37,096元/平",南沙滩小区-南沙滩,2室1厅,56.61平米,南,其他,顶层(共6层),1984年,板楼,True,房本满五年,True
电梯一居室，近地铁，南向采光充足，格局方正,"近地铁,VR看装修,房本满两年,随时看房",112万,"26,904元/平",中上园小区-武夷花园,1室0厅,41.63平米,南,简装,顶层(共11层),2015年,板塔结合,True,房本满两年,True
三羊里 三羊里社区 北洋别墅区,"VR房源,房本满五年",195万,"33,408元/平",三羊里-亦庄,1室1厅,58.37平米,北 南,简装,中楼层(共6层),2010年,板楼,False,房本满五年,False
云龙家园 1室1厅 南 北,"VR看装修,房本满两年,随时看房",188万,"26,461元/平",云龙家园-旧宫,1室1厅,71.05平米,南 北,精装,低楼层(共6层),2004年,板楼,False,房本满两年,True
北沙滩小区  高楼层 南向一居室  满五唯一,"VR房源,房本满五年",270万,"47,477元/平",北沙滩小区-南沙滩,1室1厅,56.87平米,南,其他,顶层(共18层),1998年,塔楼,False,房本满五年,False
世华龙樾一期东区 2室1厅 南 北,"近地铁,VR房源,房本满五年,随时看房",798万,"91,409元/平",世华龙樾一期东区-清河,2室1厅,87.3平米,南 北,其他,低楼层(共11层),2014年,板楼,True,房本满五年,True
东亚瑞晶苑平大一居，中间层精装修诚意卖,"VR房源,房本满五年,随时看房",158万,"25,759元/平",东亚瑞晶苑-马驹桥,1室1厅,61.34平米,南,精装,中楼层(共21层),2011年,板楼,False,房本满五年,True
幸福西区 满五年唯一 距L15顺义站300米,"近地铁,VR看装修,房本满五年,随时看房",239万,"23,812元/平",幸福西区-顺义城,3室1厅,100.37平米,南 西北,简装,24层,2002年,板塔结合,True,房本满五年,True
幸福东区 1室1厅 东 西,"近地铁,VR房源,房本满五年,随时看房",126万,"21,053元/平",幸福东区-顺义城,1室1厅,59.85平米,东 西,简装,6层,无年份,板楼,True,房本满五年,True
美唐臻观花园小区田字格三居30万精装首付90万,"近地铁,VR房源,房本满五年",599万,"61,544元/平",首开国风美唐三期-回龙观,3室1厅,97.33平米,南 北,精装,15层,无年份,板楼,True,房本满五年,False
陶然亭落地窗世纪金色嘉园精装修两居室,"VR房源,房本满五年,随时看房",568万,"55,210元/平",世纪金色嘉园-北京南站,2室1厅,102.88平米,西,简装,28层,2003年,塔楼,False,房本满五年,True
商五一，把西边明卫，4层三居两卫，落地窗,"近地铁,VR看装修,房本满五年",368万,"29,312元/平",龙锦苑一区-回龙观,3室2厅,125.55平米,南 北,简装,6层,无年份,板楼,True,房本满五年,False
未来公元三居两卫科技住宅 出门即地铁,"近地铁,VR看装修,房本满两年,随时看房",650万,"47,595元/平",未来公元-北七家,3室2厅,136.57平米,南 西 北,精装,高楼层(共25层),2021年,板楼,True,房本满两年,True
龙湖香醍漫步四区南区 南北三居室 满五年唯一,"VR看装修,房本满五年,随时看房",265万,"19,497元/平",龙湖香醍溪岸南区-马坡,3室1厅,135.92平米,南 北,简装,中楼层(共8层),2012年,板楼,False,房本满五年,True
大有庄100号院一层三室两厅南北通透,"VR房源,房本满五年",860万,"92,494元/平",大有庄100号院-马连洼,3室2厅,92.98平米,南 北,精装,底层(共6层),无年份,板楼,False,房本满五年,False
大红门35号院 南北三居室 户型方正,"近地铁,VR看装修,随时看房",258万,"34,497元/平",大红门35号院-角门,3室1厅,74.79平米,南 北,简装,高楼层(共6层),1996年,板楼,True,,True
东二环  富力山独栋别墅出售，有花园可停10辆车。,"VR房源,房本满五年",22000万,"109,059元/平",富力城E区-双井,8室4厅,2017.27平米,东 南 西 北,精装,底层(共3层),2008年,暂无数据,False,房本满五年,False
金隅通和园 3室1厅 南 北,"VR看装修,房本满五年",269万,"30,386元/平",金隅通和园-临河里,3室1厅,88.53平米,南 北,精装,高楼层(共29层),2011年,板楼,False,房本满五年,False
财富东方 2室1厅 东北,"VR房源,房本满五年,随时看房",195万,"20,921元/平",财富东方-北关,2室1厅,93.21平米,东北,简装,底层(共26层),2007年,塔楼,False,房本满五年,True
南北两居，两梯四户，楼层采光好，2019年社区。,"近地铁,VR房源,随时看房",328万,"41,805元/平",朝悦居-望京,2室1厅,78.46平米,南 北,毛坯,高楼层(共28层),2021年,板楼,True,,True
京师园 南北两居室 北师大商品房 有食堂 有车位,"近地铁,VR看装修,房本满五年,随时看房",670万,"73,643元/平",京师园-奥林匹克公园,2室1厅,90.98平米,南 北,简装,低楼层(共21层),2004年,板塔结合,True,房本满五年,True
怡然世家南北向带电梯两居室,"VR看装修,房本满五年,随时看房",198万,"27,516元/平",怡然世家-九棵树(家乐福),2室1厅,71.96平米,南 北,精装,高楼层(共28层),2013年,板塔结合,False,房本满五年,True
古桥镜水 大三居南北通透 友好步梯矮楼层 采光好,"VR看装修,随时看房",89万,"8,625元/平",古桥镜水-琉璃河,3室1厅,103.19平米,南 西 北,精装,中楼层(共6层),无年份,板楼,False,,True
铭品嘉苑 格局好 高楼层 采光好 带电梯,"VR看装修,随时看房",105万,"14,873元/平",铭品嘉苑-长阳,2室1厅,70.6平米,南 西,精装,高楼层(共20层),2016年,板塔结合,False,,True
大兴黄村  红木林北区  南北通透两居室 诚心出售,"近地铁,VR房源,房本满五年,随时看房",366万,"47,688元/平",红木林北区-枣园,2室1厅,76.75平米,南 北,精装,中楼层(共21层),2013年,板楼,True,房本满五年,True
小南庄社区2层正规两居室随时签约,"近地铁,VR看装修,房本满五年,随时看房",435万,"80,407元/平",小南庄社区-苏州桥,2室1厅,54.1平米,南 北,简装,低楼层(共6层),1998年,板楼,True,房本满五年,True
东二环  富力山独栋别墅出售，有花园可停10辆车。,"VR房源,房本满五年",22000万,"109,059元/平",富力城E区-双井,8室4厅,2017.27平米,东 南 西 北,精装,底层(共3层),2008年,暂无数据,False,房本满五年,False
金隅通和园 3室1厅 南 北,"VR看装修,房本满五年",269万,"30,386元/平",金隅通和园-临河里,3室1厅,88.53平米,南 北,精装,高楼层(共29层),2011年,板楼,False,房本满五年,False
财富东方 2室1厅 东北,"VR房源,房本满五年,随时看房",195万,"20,921元/平",财富东方-北关,2室1厅,93.21平米,东北,简装,底层(共26层),2007年,塔楼,False,房本满五年,True
