title,tag,total_price,unitprice,position,house_range,house_area,house_toward,house_situation,house_floor,house_year,house_type,is_near_subway,tax_for_free,is_anytime
恒盛小镇艺墅 89平大两居 南北通透,"VR看装修,房本满五年,随时看房",143万,"16,041元/平",恒盛小镇艺墅-大兴新机场洋房别墅区,2室2厅,89.15平米,南 北,简装,中楼层(共11层),2013年,板楼,False,房本满五年,True
金泰小区东南角高楼层三居。。。,"VR看装修,随时看房",799万,"57,941元/平",金泰小区-菜户营,3室1厅,137.9平米,东南,简装,高楼层(共25层),2002年,塔楼,False,,True
融泽嘉园1号院 南北通透 户型方正 位置安静不临街,"VR房源,房本满五年",358万,"38,566元/平",融泽嘉园中路1号院-回龙观,2室1厅,92.83平米,南 北,简装,28层,无年份,板塔结合,False,房本满五年,False
青荷里晨风园二期南北通透三居室 满2年 诚意出售,"VR看装修,房本满两年,随时看房",345万,"32,162元/平",青荷里晨风园二期-豆各庄,3室1厅,107.27平米,南 北,精装,中楼层(共29层),2019年,板楼,False,房本满两年,True
十里春风 2室2厅 南 北,"VR房源,房本满两年,随时看房",88万,"11,009元/平",十里春风-通州其它,2室2厅,79.94平米,南 北,精装,高楼层(共22层),2020年,板塔结合,False,房本满两年,True
北人家园 2室1厅 南,VR房源,245万,"30,473元/平",北人家园-万达,2室1厅,80.4平米,南,精装,低楼层(共27层),2018年,板楼,False,,False
聚焦推荐 南湖佳苑 08年次新房 全明 南北双通透,"VR房源,房本满五年,随时看房",1098万,"69,446元/平",南湖佳苑-望京,3室2厅,158.11平米,南 北,精装,高楼层(共23层),无年份,板楼,False,房本满五年,True
定福庄西街南北通透一居室，明厨明卫，中间楼层，诚意,"近地铁,VR房源,房本满五年,随时看房",150万,"29,792元/平",定福庄西街-定福庄,1室1厅,50.35平米,南 北,其他,中楼层(共18层),1999年,塔楼,True,房本满五年,True
美唐40万博洛尼精装首付120万近霍营站622米,"近地铁,VR房源,房本满五年,随时看房",599万,"46,933元/平",首开国风美唐三期-回龙观,3室1厅,127.63平米,南 北,精装,18层,2016年,板楼,True,房本满五年,True
罗府家园89平大两居带电梯近地铁满五唯一诚心出售,"近地铁,VR房源,房本满五年,随时看房",148万,"16,528元/平",罗府家园-良乡,2室1厅,89.55平米,东 西,简装,高楼层(共15层),2008年,板塔结合,True,房本满五年,True
西单西四，什刹海爱民里，西什库，南向一居,"近地铁,VR看装修,房本满五年,随时看房",399万,"114,986元/平",爱民里小区-西四,1室1厅,34.7平米,南,简装,底层(共7层),无年份,板楼,True,房本满五年,True
华瀚福园C区 2室1厅 西南 北,"VR房源,房本满五年,随时看房",209万,"32,070元/平",华瀚福园C区-东坝,2室1厅,65.17平米,西南 北,简装,高楼层(共22层),2017年,板楼,False,房本满五年,True
绿地花都苑满五唯一南北通透两居室中高楼层采光好,"VR看装修,房本满五年,随时看房",178万,"20,311元/平",绿地花都苑-长阳,2室1厅,87.64平米,南 北,简装,中楼层(共14层),2012年,板塔结合,False,房本满五年,True
东城区地坛公园东门口和平里五区,"VR房源,房本满五年",560万,"101,597元/平",和平里五区-和平里,2室1厅,55.12平米,南 北,精装,底层(共6层),无年份,板楼,False,房本满五年,False
靓景明居 电梯南北两居室 双卫 随时看房,"VR房源,房本满五年",350万,"34,164元/平",靓景明居-九棵树(家乐福),2室2厅,102.45平米,南 北,简装,中楼层(共12层),无年份,板楼,False,房本满五年,False
望京路4号院 满五年唯一 精装修 看房随时 配套全,"近地铁,VR看装修,房本满五年,随时看房",238万,"40,497元/平",望京路4号院-望京,1室1厅,58.77平米,东南,精装,顶层(共14层),1999年,板楼,True,房本满五年,True
12号线 19号线 10号线 中间层两居室,"近地铁,VR房源,随时看房",398万,"68,151元/平",钟表南园-马甸,2室1厅,58.4平米,东 西,简装,中楼层(共6层),1985年,板楼,True,,True
团结湖政协公寓 满五唯一  小区安静,"VR房源,房本满五年",320万,"49,930元/平",团结湖北四条-团结湖,2室1厅,64.09平米,南 北,简装,中楼层(共6层),无年份,板楼,False,房本满五年,False
葛布店东里，运河小运河中，梨园,"近地铁,VR看装修,房本满五年,随时看房",216万,"26,047元/平",葛布店东里-果园,2室1厅,82.93平米,南 北,精装,低楼层(共6层),无年份,板楼,True,房本满五年,True
明峻嘉园 不邻路大三居 全明户型 中间 位置好房,"VR看装修,房本满五年,随时看房",188万,"13,255元/平",明峻嘉园-窦店,3室1厅,141.84平米,南 北,毛坯,中楼层(共10层),2013年,板楼,False,房本满五年,True
农业部分房 管理好 有门禁 电梯直达,"VR看装修,房本满五年,随时看房",235万,"52,176元/平",农展南里-农展馆,1室1厅,45.04平米,南,其他,顶层(共14层),无年份,板塔结合,False,房本满五年,True
十里堡北区十里堡北区炫特嘉,"近地铁,VR房源,房本满五年",229万,"39,910元/平",炫特嘉园一期-石佛营,1室1厅,57.38平米,西,精装,中楼层(共18层),2004年,塔楼,True,房本满五年,False
2004年建成，70年住宅，满五唯一，车位充足近地,"近地铁,VR房源,房本满五年,随时看房",598万,"48,328元/平",星源国际-望京,3室1厅,123.74平米,西 北,简装,中楼层(共25层),2004年,板楼,True,房本满五年,True
二环外，劲松光明，商品房，南北，交通方便，诚意卖,"VR房源,房本满五年,随时看房",728万,"52,927元/平",都城心屿-劲松,3室1厅,137.55平米,南 北,精装,24层,2008年,塔楼,False,房本满五年,True
定福庄北里1号院 1室1厅 南,"VR房源,房本满五年,随时看房",145万,"32,791元/平",定福庄北里1号院-定福庄,1室1厅,44.22平米,南,其他,低楼层(共6层),无年份,板楼,False,房本满五年,True
石门营新区七区东苑,"近地铁,VR看装修,随时看房",73万,"16,520元/平",石门营新区七区东苑-石门营,1室1厅,44.19平米,南,简装,顶层(共6层),2012年,板塔结合,True,,True
下坡屯家园三区 电梯两居室 南北通透 诚心出售,"VR看装修,随时看房",108万,"12,984元/平",下坡屯家园三区-顺义其它,2室1厅,83.18平米,南 北,简装,中楼层(共11层),2014年,板塔结合,False,,True
沿海赛洛城五期 东南北两居室 通透一梯两户,"VR房源,房本满五年,随时看房",460万,"46,810元/平",沿海赛洛城五期-百子湾,2室1厅,98.27平米,东南 北,简装,低楼层(共9层),无年份,板楼,False,房本满五年,True
广和东里 南北通透 低楼层二层,"近地铁,VR房源,房本满五年",220万,"40,984元/平",广和东里-劲松,2室1厅,53.68平米,南 北,简装,中楼层(共5层),无年份,板楼,True,房本满五年,False
满五唯一 楼层好 楼栋位置好 正观小区花园,"VR房源,房本满五年,随时看房",285万,"51,584元/平",苹果社区南区-双井,1室0厅,55.25平米,北,简装,22层,2005年,板塔结合,False,房本满五年,True
温泉凯盛家园二区  南北通透两居室  采光好视野好,"VR看装修,房本满五年,随时看房",258万,"32,178元/平",凯盛家园-海淀北部新区,2室1厅,80.18平米,南 北,简装,顶层(共15层),2013年,板塔结合,False,房本满五年,True
新外大街21号院 2室1厅 南 北,"VR房源,房本满五年,随时看房",410万,"72,057元/平",新外大街21号院-小西天,2室1厅,56.9平米,南 北,简装,高楼层(共12层),无年份,板楼,False,房本满五年,True
大兴黄村  枣园小区 南北向两居室  诚心出售,"VR看装修,房本满五年,随时看房",179万,"25,565元/平",枣园小区-枣园,2室2厅,70.02平米,南 北,简装,底层(共7层),1994年,板楼,False,房本满五年,True
丰台区 南四环 8号线和义站 久敬佳园低楼层两居室,"近地铁,VR房源,房本满五年",360万,"35,743元/平",久敬佳园一区-和义,2室2厅,100.72平米,南 北,简装,低楼层(共6层),2007年,板楼,True,房本满五年,False
新外大街21号院 2室1厅 南 北,"VR房源,房本满五年,随时看房",410万,"72,057元/平",新外大街21号院-小西天,2室1厅,56.9平米,南 北,简装,高楼层(共12层),无年份,板楼,False,房本满五年,True
金隅滨和园1号院商品房南向两居，中间楼层采光视野好,"VR房源,房本满五年,随时看房",192万,"27,871元/平",金隅滨和园1号院-石景山其它,2室1厅,68.89平米,南,精装,中楼层(共31层),2014年,板塔结合,False,房本满五年,True
此房满五唯一，业主诚心出售，大阳台，采光好,"VR看装修,房本满五年",255万,"29,001元/平",北街家园八区-沙河,2室1厅,87.93平米,南 北,简装,低楼层(共17层),2011年,板楼,False,房本满五年,False
沿海赛洛城五期 东南北两居室 通透一梯两户,"VR房源,房本满五年,随时看房",460万,"46,810元/平",沿海赛洛城五期-百子湾,2室1厅,98.27平米,东南 北,简装,低楼层(共9层),无年份,板楼,False,房本满五年,True
社科院宿舍楼，楼层好，视野开阔，采光充足，配套完善,"VR房源,房本满五年,随时看房",297万,"46,802元/平",劲松九区-劲松,2室1厅,63.46平米,西南,简装,高楼层(共16层),无年份,塔楼,False,房本满五年,True
裕龙花园二区精装修中间楼层 采光充足,"VR房源,房本满五年,随时看房",175万,"23,406元/平",裕龙二区-顺义城,2室1厅,74.77平米,南 北,精装,中楼层(共6层),1999年,板楼,False,房本满五年,True
丰台科技园南向次新电梯一居室，不临街，15%,"近地铁,VR房源,房本满五年,随时看房",205万,"36,322元/平",首开华润花香四季-科技园区,1室1厅,56.44平米,南,精装,中楼层(共29层),无年份,板楼,True,房本满五年,True
国贸百子湾金海国际南区满五唯一东南大三居随时可看,"VR看装修,房本满五年,随时看房",588万,"42,339元/平",金海国际南区-百子湾,3室1厅,138.88平米,东南,简装,高楼层(共23层),无年份,塔楼,False,房本满五年,True
保利百合花园式小区 南北三居室双卫，中间位置；,"近地铁,VR房源,房本满五年",1099万,"76,336元/平",保利百合-丽泽,3室1厅,143.97平米,南 北,精装,低楼层(共21层),2009年,板楼,True,房本满五年,False
泰中花园 2室1厅 南 北,"VR房源,房本满五年,随时看房",238万,"24,333元/平",泰中花园-高米店,2室1厅,97.81平米,南 北,简装,高楼层(共21层),2012年,板塔结合,False,房本满五年,True
府前东街西区 2室1厅 东南 东南,"VR房源,随时看房",130万,"21,267元/平",府前东街西区-怀柔,2室1厅,61.13平米,东南 东南,简装,低楼层(共6层),无年份,板楼,False,,True
塔院 双南向 有电梯  中间层两居 满五年看房方便,"近地铁,VR房源,房本满两年,随时看房",415万,"62,784元/平",塔院小区-牡丹园,2室1厅,66.1平米,南,简装,低楼层(共18层),1989年,塔楼,True,房本满两年,True
永定路17号院 1室0厅 北,VR看装修,149万,"116,407元/平",永定路17号院-五棵松,1室0厅,12.8平米,北,其他,中楼层(共6层),无年份,板楼,False,,False
满五唯一 楼层好 楼栋位置好 正观小区花园,"VR房源,房本满五年,随时看房",285万,"51,584元/平",苹果社区南区-双井,1室0厅,55.25平米,北,简装,22层,2005年,板塔结合,False,房本满五年,True
南北通透 小区中间位置  一层两居,"近地铁,VR房源,房本满五年,随时看房",235万,"30,457元/平",云趣园二区-回龙观,2室1厅,77.16平米,南 北,简装,7层,无年份,板楼,True,房本满五年,True
财富东方 2室1厅 东北,"VR房源,房本满五年,随时看房",195万,"20,921元/平",财富东方-北关,2室1厅,93.21平米,东北,简装,底层(共26层),2007年,塔楼,False,房本满五年,True
纳帕澜郡 3室1厅 南 北,"VR看装修,房本满五年,随时看房",225万,"20,999元/平",纳帕澜郡-小汤山,3室1厅,107.15平米,南 北,其他,低楼层(共15层),2012年,板楼,False,房本满五年,True
马甸南村，朝南一居室，相当于满五唯一，仅产生契税。,"近地铁,VR房源,房本满两年,随时看房",578万,"142,365元/平",马甸南村-马甸,1室1厅,40.6平米,南,精装,6层,1986年,板楼,True,房本满两年,True
满五唯一，主卧室带明卫，两室两卫。,"近地铁,甄选房,VR看装修,房本满五年,随时看房",1610万,"144,098元/平",阳光丽景-马甸,2室1厅,111.73平米,西南,简装,低楼层(共19层),无年份,塔楼,True,房本满五年,True
八角南里南北通透，两室一厅，刚需自住房,"近地铁,VR房源,房本满两年,随时看房",158万,"36,676元/平",八角南里-八角,2室1厅,43.08平米,南 北,简装,顶层(共5层),1993年,板楼,True,房本满两年,True
金隅通和园 3室1厅 南 北,"VR看装修,房本满五年",269万,"30,386元/平",金隅通和园-临河里,3室1厅,88.53平米,南 北,精装,高楼层(共29层),2011年,板楼,False,房本满五年,False
橡树湾两居室满五唯一，视野开阔，精装修,"近地铁,VR房源,房本满五年",585万,"81,899元/平",橡树湾二期-清河,3室1厅,71.43平米,东,精装,低楼层(共11层),2009年,板塔结合,True,房本满五年,False
万科城市花园 3室2厅 南 北,"VR看装修,房本满两年,随时看房",420万,"27,055元/平",万科城市花园-后沙峪,3室2厅,155.24平米,南 北,简装,中楼层(共4层),2000年,板楼,False,房本满两年,True
大红门西路35号院   精装修 中间楼层三居室,"VR看装修,房本满五年,随时看房",358万,"41,926元/平",大红门35号院-角门,3室1厅,85.39平米,南 北,精装,中楼层(共6层),无年份,板楼,False,房本满五年,True
人民日报社区 塔楼南向一居室 高楼层 视野开阔,"近地铁,VR房源,房本满五年,随时看房",232万,"52,728元/平",人民日报社家属区-红庙,1室1厅,44平米,南,简装,高楼层(共16层),1991年,塔楼,True,房本满五年,True
芳园里中楼层两居室满五唯一近地铁,"近地铁,VR房源,房本满五年,随时看房",228万,"39,680元/平",芳园里-酒仙桥,2室1厅,57.46平米,南 北,简装,中楼层(共7层),1991年,板楼,True,房本满五年,True
南北两居，两梯四户，楼层采光好，2019年社区。,"近地铁,VR房源,随时看房",328万,"41,805元/平",朝悦居-望京,2室1厅,78.46平米,南 北,毛坯,高楼层(共28层),2021年,板楼,True,,True
新风南里 一居室 看房方便 业主诚心出售,"近地铁,VR房源,随时看房",530万,"148,877元/平",新风南里-马甸,1室1厅,35.6平米,北,精装,中楼层(共6层),1990年,板楼,True,,True
大红门35号院 南北三居室 户型方正,"近地铁,VR看装修,随时看房",258万,"34,497元/平",大红门35号院-角门,3室1厅,74.79平米,南 北,简装,高楼层(共6层),1996年,板楼,True,,True
东二环  富力山独栋别墅出售，有花园可停10辆车。,"VR房源,房本满五年",22000万,"109,059元/平",富力城E区-双井,8室4厅,2017.27平米,东 南 西 北,精装,底层(共3层),2008年,暂无数据,False,房本满五年,False
宏嘉丽园 全南向 落地飘窗 视野开阔 大两居室,"VR看装修,房本满五年,随时看房",830万,"83,510元/平",宏嘉丽园-知春路,2室1厅,99.39平米,南,简装,中楼层(共25层),2001年,塔楼,False,房本满五年,True
南岗子南北通透2居室，中间楼层，采光好，满五唯一,"近地铁,VR房源,房本满五年,随时看房",385万,"66,529元/平",南岗子-崇文门,2室1厅,57.87平米,南 北,简装,中楼层(共6层),无年份,板楼,True,房本满五年,True
长阳国际城一区 3室1厅 南 北,"近地铁,VR看装修,房本满五年",260万,"28,918元/平",长阳国际城一区-长阳,3室1厅,89.91平米,南 北,精装,高楼层(共9层),2012年,板楼,True,房本满五年,False
政馨园一区 满五年唯一商品房 楼层高视野好无遮挡,"近地铁,VR房源,随时看房",210万,"41,412元/平",政馨园一区-宋家庄,1室2厅,50.71平米,西,简装,18层,2003年,板塔结合,True,,True
全南北通透大三居，自住品质装修！双卧客厅朝南,VR房源,450万,"32,668元/平",康营四期E区-中央别墅区,3室2厅,137.75平米,南 北,精装,低楼层(共28层),2022年,板楼,False,,False
国贸南两站地 农光东里 东南两居电梯直达 随时看房,"VR看装修,房本满五年,随时看房",237万,"46,792元/平",农光东里-劲松,2室1厅,50.65平米,东南,简装,中楼层(共18层),无年份,塔楼,False,房本满五年,True
商品房 只有契税 不临街 精装修 采光好,"VR房源,房本满两年,随时看房",115万,"23,840元/平",红山郡-丰台其它,1室1厅,48.24平米,南,精装,中楼层(共21层),2017年,板楼,False,房本满两年,True
美然绿色家园 2室1厅 南 北,"VR房源,房本满五年",179万,"27,183元/平",美然绿色家园-旧宫,2室1厅,65.85平米,南 北,简装,高楼层(共6层),无年份,板楼,False,房本满五年,False
西城南线阁，南北通透小两居，满五唯一，看房有钥匙,"VR看装修,房本满五年,随时看房",300万,"68,792元/平",南线阁5号院-牛街,2室1厅,43.61平米,南 北,简装,顶层(共5层),无年份,板楼,False,房本满五年,True
韩庄子四里，有钥匙，南北两居室，业主急售，采光好,"近地铁,VR房源,房本满五年,随时看房",215万,"36,942元/平",韩庄子四里-看丹桥,2室1厅,58.2平米,南 北,简装,高楼层(共6层),1992年,板楼,True,房本满五年,True
配套设施完善，生活采买及交通便利,"VR房源,房本满五年",115万,"11,402元/平",宾阳里小区-鼓楼街道,3室2厅,100.86平米,南 北,简装,顶层(共6层),无年份,板楼,False,房本满五年,False
幸福西区 满五年唯一 距L15顺义站300米,"近地铁,VR看装修,房本满五年,随时看房",239万,"23,812元/平",幸福西区-顺义城,3室1厅,100.37平米,南 西北,简装,24层,2002年,板塔结合,True,房本满五年,True
幸福东区 1室1厅 东 西,"近地铁,VR房源,房本满五年,随时看房",126万,"21,053元/平",幸福东区-顺义城,1室1厅,59.85平米,东 西,简装,6层,无年份,板楼,True,房本满五年,True
陶然亭落地窗世纪金色嘉园精装修两居室,"VR房源,房本满五年,随时看房",568万,"55,210元/平",世纪金色嘉园-北京南站,2室1厅,102.88平米,西,简装,28层,2003年,塔楼,False,房本满五年,True
龙湖香醍漫步四区南区 南北三居室 满五年唯一,"VR看装修,房本满五年,随时看房",265万,"19,497元/平",龙湖香醍溪岸南区-马坡,3室1厅,135.92平米,南 北,简装,中楼层(共8层),2012年,板楼,False,房本满五年,True
东亚瑞晶苑平大一居，中间层精装修诚意卖,"VR房源,房本满五年,随时看房",158万,"25,759元/平",东亚瑞晶苑-马驹桥,1室1厅,61.34平米,南,精装,中楼层(共21层),2011年,板楼,False,房本满五年,True
翠成馨园D区 2室2厅 东,"VR房源,房本满两年",225万,"29,889元/平",翠成馨园D区-垡头,2室2厅,75.28平米,东,简装,中楼层(共22层),2017年,板楼,False,房本满两年,False
电梯一居室，近地铁，南向采光充足，格局方正,"近地铁,VR看装修,房本满两年,随时看房",112万,"26,904元/平",中上园小区-武夷花园,1室0厅,41.63平米,南,简装,顶层(共11层),2015年,板塔结合,True,房本满两年,True
三羊里 三羊里社区 北洋别墅区,"VR房源,房本满五年",195万,"33,408元/平",三羊里-亦庄,1室1厅,58.37平米,北 南,简装,中楼层(共6层),2010年,板楼,False,房本满五年,False
未来公元三居两卫科技住宅 出门即地铁,"近地铁,VR看装修,房本满两年,随时看房",650万,"47,595元/平",未来公元-北七家,3室2厅,136.57平米,南 西 北,精装,高楼层(共25层),2021年,板楼,True,房本满两年,True
瑞海姆公寓  全明格局 全天采光,"VR看装修,房本满五年,随时看房",180万,"18,754元/平",瑞海姆公寓-果园街道,2室1厅,95.98平米,南 北,其他,11层,无年份,板楼,False,房本满五年,True
干休所家属院，有钥匙，随时看房,"VR房源,房本满五年,随时看房",122万,"24,357元/平",干休所家属院-万达,2室1厅,50.09平米,南,简装,高楼层(共6层),无年份,板楼,False,房本满五年,True
大兴西红门 鸿坤理想城五期 电梯房,"VR看装修,房本满五年",259万,"34,057元/平",鸿坤理想城五期-西红门,2室1厅,76.05平米,南 北,简装,中楼层(共18层),无年份,板楼,False,房本满五年,False
朝新嘉园东里四区 2室2厅 南 北,"VR房源,房本满五年",295万,"31,109元/平",朝新嘉园东里四区-东坝,2室2厅,94.83平米,南 北,简装,低楼层(共22层),无年份,板楼,False,房本满五年,False
红莲南里 正规一居室 近地铁 满五年唯一 配套成熟,"VR房源,房本满五年",329万,"75,982元/平",红莲南里-马连道,1室1厅,43.3平米,南,简装,低楼层(共18层),1991年,塔楼,False,房本满五年,False
塔院胡同田字格三居室，全明格局，工行家属楼。,"近地铁,VR看装修,随时看房",799万,"109,005元/平",塔院胡同-六铺炕,3室1厅,73.3平米,南 北,简装,底层(共6层),无年份,板楼,True,,True
惠新里大客厅户型，对外经贸家属楼，采光没有遮挡。,"近地铁,VR房源,房本满五年,随时看房",360万,"52,280元/平",惠新里小区-惠新西街,3室1厅,68.86平米,东 西,简装,中楼层(共6层),无年份,板楼,True,房本满五年,True
新上北辰中区三居  全明格局 南北通透 看房随时,"近地铁,VR房源,房本满五年,随时看房",339万,"38,748元/平",北辰福第中区-常营,3室2厅,87.49平米,南 北,精装,低楼层(共20层),无年份,板楼,True,房本满五年,True
保利首开熙悦春天 高楼层 南北通透双卫四居室,"近地铁,VR看装修,房本满五年,随时看房",260万,"26,899元/平",保利首开熙悦春天-天宫院,4室1厅,96.66平米,南 北,精装,高楼层(共20层),2016年,板楼,True,房本满五年,True
层高3.1米 东西通透 高层观景 拎包入住,"近地铁,VR看装修,房本满两年",870万,"68,359元/平",观湖国际-朝阳公园,2室2厅,127.27平米,东 西,精装,中楼层(共25层),2007年,板楼,True,房本满两年,False
朝新嘉园东里四区 2室2厅 南 北,"VR房源,房本满五年",295万,"31,109元/平",朝新嘉园东里四区-东坝,2室2厅,94.83平米,南 北,简装,低楼层(共22层),无年份,板楼,False,房本满五年,False
广安康馨家园北区 优推好房  通透正规一居室诚售,"VR看装修,房本满五年",168万,"27,968元/平",广安康馨家园北区-青塔,1室1厅,60.07平米,东 西,简装,高楼层(共10层),2014年,板楼,False,房本满五年,False
塔院胡同田字格三居室，全明格局，工行家属楼。,"近地铁,VR看装修,随时看房",799万,"109,005元/平",塔院胡同-六铺炕,3室1厅,73.3平米,南 北,简装,底层(共6层),无年份,板楼,True,,True
观湖南北通透三居室 全明格局 观小区湖景,"近地铁,VR看装修,房本满五年,随时看房",1399万,"80,690元/平",观湖国际-朝阳公园,3室1厅,173.38平米,南 北,精装,中楼层(共22层),无年份,板塔结合,True,房本满五年,True
保利首开熙悦春天 高楼层 南北通透双卫四居室,"近地铁,VR看装修,房本满五年,随时看房",260万,"26,899元/平",保利首开熙悦春天-天宫院,4室1厅,96.66平米,南 北,精装,高楼层(共20层),2016年,板楼,True,房本满五年,True
新城乐居南区，南北2居，带地上租赁车位，只有契税,"近地铁,VR房源,房本满五年,随时看房",218万,"27,800元/平",新城乐居-临河里,2室1厅,78.42平米,南 北,精装,中楼层(共26层),2012年,板楼,True,房本满五年,True
泰和宜园 2室1厅 南 北,"VR房源,随时看房",150万,"20,000元/平",泰和宜园-马坡,2室1厅,75平米,南 北,其他,中楼层(共11层),2011年,板楼,False,,True
鲁能溪园一梯两户南北通透，精装修全明格局，满五唯一,"VR看装修,房本满五年,随时看房",315万,"23,454元/平",鲁能7号院溪园-马坡,3室1厅,134.31平米,南 北,精装,顶层(共11层),2014年,板楼,False,房本满五年,True
